%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663861287481551447,0.0,0.0,0.0,0.0,0.0,0.0
1663861287557252450,0.0,0.0,0.0,0.0,0.0,0.0
1663861287631603255,0.0,0.0,0.0,0.0,0.0,0.0
1663861287707402527,0.0,0.0,0.0,0.0,0.0,0.0
1663861287783011757,0.0,0.0,0.0,0.0,0.0,0.0
1663861287858703611,0.0,0.0,0.0,0.0,0.0,0.0
1663861287934046322,0.0,0.0,0.0,0.0,0.0,0.0
1663861288009335882,0.0,0.0,0.0,0.0,0.0,0.0
1663861288084464595,0.0,0.0,0.0,0.0,0.0,0.0
1663861288160679990,0.0,0.0,0.0,0.0,0.0,0.0
1663861288234270767,0.0,0.0,0.0,0.0,0.0,0.0
1663861288310643028,0.0,0.0,0.0,0.0,0.0,0.0
1663861288384996976,0.0,0.0,0.0,0.0,0.0,0.0
1663861288461871197,0.0,0.0,0.0,0.0,0.0,0.0
1663861288537437543,0.0,0.0,0.0,0.0,0.0,0.0
1663861288612187988,0.0,0.0,0.0,0.0,0.0,0.0
1663861288688222420,0.0,0.0,0.0,0.0,0.0,0.0
1663861288764381103,0.0,0.0,0.0,0.0,0.0,0.0
1663861288840703217,0.0,0.0,0.0,0.0,0.0,0.0
1663861288916256713,0.0,0.0,0.0,0.0,0.0,0.0
1663861288991593347,0.0,0.0,0.0,0.0,0.0,0.0
1663861289067333113,0.0,0.0,0.0,0.0,0.0,0.0
1663861289143004364,0.0,0.0,0.0,0.0,0.0,0.0
1663861289218858882,0.0,0.0,0.0,0.0,0.0,0.0
1663861289294148023,0.0,0.0,0.0,0.0,0.0,0.0
1663861289368929897,0.0,0.0,0.0,0.0,0.0,0.0
1663861289443226015,0.0,0.0,0.0,0.0,0.0,0.0
1663861289519229018,0.0,0.0,0.0,0.0,0.0,0.0
1663861289596418858,0.0,0.0,0.0,0.0,0.0,0.0
1663861289672041917,0.0,0.0,0.0,0.0,0.0,0.0
1663861289747010201,0.0,0.0,0.0,0.0,0.0,0.0
1663861289835062811,0.0,0.0,0.0,0.0,0.0,0.0
1663861289923451154,0.00122017599642,0.0,0.0,0.0,0.0,0.170465767384
1663861290011423096,0.00122028694022,0.0,0.0,0.0,0.0,0.529389202595
1663861290098504473,0.0,0.0,0.0,0.0,0.0,0.663934409618
1663861290186665898,-0.00488081481308,0.0,0.0,0.0,0.0,0.807487785816
1663861290275295897,-0.0109818335623,0.0,0.0,0.0,0.0,0.906180739403
1663861290363565788,-0.00732122268528,0.0,0.0,0.0,0.0,0.843376100063
1663861290451462718,0.0,0.0,0.0,0.0,0.0,0.807395994663
1663861290538936053,-0.00244035199285,0.0,0.0,0.0,0.0,0.825413167477
1663861290627698474,-0.00488092610613,0.0,0.0,0.0,0.0,0.879284441471
1663861290714829230,-0.00244035199285,0.0,0.0,0.0,0.0,0.879244506359
1663861290802664071,-0.00488092610613,0.0,0.0,0.0,0.0,0.825450718403
1663861290890623231,0.00244029657915,0.0,0.0,0.0,0.0,0.771564364433
1663861290979539515,-0.00244040740654,0.0,0.0,0.0,0.0,0.861320316792
1663861291067798370,0.0,0.0,0.0,0.0,0.0,0.861320316792
1663861291154792445,0.0,0.0,0.0,0.0,0.0,0.753655254841
1663861291242272065,0.00122020370327,0.0,0.0,0.0,0.0,0.744683146477
1663861291331179480,0.00122012058273,0.0,0.0,0.0,0.0,0.76257532835
1663861291418111883,-0.00244046305306,0.0,0.0,0.0,0.0,0.861339867115
1663861291506529909,-0.00122017599642,0.0,0.0,0.0,0.0,0.852328836918
1663861291594963860,0.0,0.0,0.0,0.0,0.0,0.807432711124
1663861291682033015,0.0109815839678,0.0,0.0,0.0,0.0,0.744666218758
1663861291757117448,0.00282640429214,0.0,0.0,0.0,0.0,0.810513019562
1663861291833871749,-0.00282566063106,0.0,0.0,0.0,0.0,0.373984485865
1663861291908950244,-0.00423826789483,0.0,0.0,0.0,0.0,0.0519395582378
1663861291984221576,0.0,0.0,0.0,0.0,0.0,0.0
1663861292059326891,-0.00141290470492,0.0,0.0,0.0,0.0,0.010389004834
1663861292134554431,0.0,0.0,0.0,0.0,0.0,0.0
1663861292209648222,0.0,0.0,0.0,0.0,0.0,0.0
1663861292285386103,0.0,0.0,0.0,0.0,0.0,0.0
1663861292360275185,0.0,0.0,0.0,0.0,0.0,0.0
1663861292435692208,0.0,0.0,0.0,0.0,0.0,0.0
1663861292510953273,0.0,0.0,0.0,0.0,0.0,0.0
1663861292587131092,0.0,0.0,0.0,0.0,0.0,0.0
1663861292663366741,0.0,0.0,0.0,0.0,0.0,0.0
1663861292738357445,0.0,0.0,0.0,0.0,0.0,0.0
1663861292812402618,0.0,0.0,0.0,0.0,0.0,0.0
1663861292888628000,0.0,0.0,0.0,0.0,0.0,0.0
1663861292963884804,0.0,0.0,0.0,0.0,0.0,0.0
1663861293040007029,0.0,0.0,0.0,0.0,0.0,0.0
1663861293115655511,0.0,0.0,0.0,0.0,0.0,0.0
1663861293190486344,0.0,0.0,0.0,0.0,0.0,0.0
1663861293265928232,0.0,0.0,0.0,0.0,0.0,0.0
