%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663861073494870056,0.0,0.0,0.0,0.0,0.0,0.0
1663861073568522783,0.0,0.0,0.0,0.0,0.0,0.0
1663861073644216803,0.0,0.0,0.0,0.0,0.0,0.0
1663861073718883506,0.0,0.0,0.0,0.0,0.0,0.0
1663861073795453003,0.0,0.0,0.0,0.0,0.0,0.0
1663861073871271412,0.0,0.0,0.0,0.0,0.0,0.0
1663861073947182851,0.0,0.0,0.0,0.0,0.0,0.0
1663861074022398728,0.0,0.0,0.0,0.0,0.0,0.0
1663861074098773434,0.0,0.0,0.0,0.0,0.0,0.0
1663861074174741934,0.0,0.0,0.0,0.0,0.0,0.0
1663861074249625080,0.0,0.0,0.0,0.0,0.0,0.0
1663861074325478271,0.0,0.0,0.0,0.0,0.0,0.0
1663861074401810233,0.0,0.0,0.0,0.0,0.0,0.0
1663861074478013824,0.0,0.0,0.0,0.0,0.0,0.0
1663861074553000826,0.0,0.0,0.0,0.0,0.0,0.0
1663861074628178848,0.0,0.0,0.0,0.0,0.0,0.0
1663861074704301491,0.0,0.0,0.0,0.0,0.0,0.0
1663861074780687861,0.0,0.0,0.0,0.0,0.0,0.0
1663861074856587706,0.0,0.0,0.0,0.0,0.0,0.0
1663861074931479024,0.0,0.0,0.0,0.0,0.0,0.0
1663861075007647484,0.0,0.0,0.0,0.0,0.0,0.0
1663861075082480343,0.0,0.0,0.0,0.0,0.0,0.0
1663861075158338144,0.0,0.0,0.0,0.0,0.0,0.0
1663861075234828928,0.0,0.0,0.0,0.0,0.0,0.0
1663861075310644823,0.0,0.0,0.0,0.0,0.0,0.0
1663861075385252579,0.0,0.0,0.0,0.0,0.0,0.0
1663861075462338213,0.0,0.0,0.0,0.0,0.0,0.0
1663861075536366904,0.0,0.0,0.0,0.0,0.0,0.0
1663861075611861382,0.0,0.0,0.0,0.0,0.0,0.0
1663861075686574112,0.0,0.0,0.0,0.0,0.0,0.0
1663861075763061404,0.0,0.0,0.0,0.0,0.0,0.0
1663861075838401880,0.0,0.0,0.0,0.0,0.0,0.0
1663861075913053986,0.0,0.0,0.0,0.0,0.0,0.0
1663861075989225031,0.0,0.0,0.0,0.0,0.0,0.0
1663861076063537003,0.0,0.0,0.0,0.0,0.0,0.0
1663861076140503626,0.0,0.0,0.0,0.0,0.0,0.0
1663861076216333489,0.0,0.0,0.0,0.0,0.0,0.0
1663861076295489539,0.0,0.0,0.0,0.0,0.0,0.0
1663861076385905905,0.0,0.0,0.0,0.0,0.0,-0.0538325197995
1663861076474089888,-0.00366061134264,0.0,0.0,0.0,0.0,-0.314023017883
1663861076553520700,-0.00854162033647,0.0,0.0,0.0,0.0,-0.619088053703
1663861076629765219,-0.0084774279967,0.0,0.0,0.0,0.0,-0.498672246933
1663861076709743667,-0.00423871399835,0.0,0.0,0.0,0.0,-0.135057061911
1663861076799948060,0.00732022430748,0.0,0.0,0.0,0.0,0.0538251772523
1663861076888767612,0.05612937361,0.0,0.0,0.0,0.0,0.0179441720247
1663861076976078423,0.119579970837,0.0,0.0,0.0,0.0,0.0
1663861077064983672,0.186708152294,0.0,0.0,0.0,0.0,-0.00897290185094
1663861077151855522,0.26242133975,0.0,0.0,0.0,0.0,-0.00897473841906
