%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663860058392337244,0.0,0.0,0.0,0.0,0.0,0.0
1663860058469043982,0.0,0.0,0.0,0.0,0.0,0.0
1663860058544096705,0.0,0.0,0.0,0.0,0.0,0.0
1663860058619296099,0.0,0.0,0.0,0.0,0.0,0.0
1663860058695454083,0.0,0.0,0.0,0.0,0.0,0.0
1663860058770033692,0.0,0.0,0.0,0.0,0.0,0.0
1663860058845999819,0.0,0.0,0.0,0.0,0.0,0.0
1663860058921148646,0.0,0.0,0.0,0.0,0.0,0.0
1663860058996604641,0.0,0.0,0.0,0.0,0.0,0.0
1663860059070707365,0.0,0.0,0.0,0.0,0.0,0.0
1663860059146994558,0.0,0.0,0.0,0.0,0.0,0.0
1663860059221915209,0.0,0.0,0.0,0.0,0.0,0.0
1663860059298089607,0.0,0.0,0.0,0.0,0.0,0.0
1663860059372758475,0.0,0.0,0.0,0.0,0.0,0.0
1663860059448877347,0.0,0.0,0.0,0.0,0.0,0.0
1663860059524579538,0.0,0.0,0.0,0.0,0.0,0.0
1663860059599681990,0.0,0.0,0.0,0.0,0.0,0.0
1663860059676024987,0.0,0.0,0.0,0.0,0.0,0.0
1663860059750968617,0.0,0.0,0.0,0.0,0.0,0.0
1663860059826915815,0.0,0.0,0.0,0.0,0.0,0.0
1663860059902289676,0.0,0.0,0.0,0.0,0.0,0.0
1663860059977414128,0.0,0.0,0.0,0.0,0.0,0.0
1663860060051925012,0.0,0.0,0.0,0.0,0.0,0.0
1663860060128565190,0.0,0.0,0.0,0.0,0.0,0.0
1663860060204561628,0.0,0.0,0.0,0.0,0.0,0.0
1663860060279517341,0.0,0.0,0.0,0.0,0.0,0.0
1663860060355402030,0.0,0.0,0.0,0.0,0.0,0.0
1663860060430754519,0.0,0.0,0.0,0.0,0.0,0.0
1663860060506108823,0.0,0.0,0.0,0.0,0.0,0.0
1663860060581581790,0.0,0.0,0.0,0.0,0.0,0.0
1663860060657721685,0.0,0.0,0.0,0.0,0.0,0.0
1663860060732680191,0.0,0.0,0.0,0.0,0.0,0.0
1663860060807453405,0.0,0.0,0.0,0.0,0.0,0.0
1663860060883635624,0.0,0.0,0.0,0.0,0.0,0.0
1663860060959619211,0.0,0.0,0.0,0.0,0.0,0.0
1663860061034366164,0.0,0.0,0.0,0.0,0.0,0.0
1663860061110647001,0.0,0.0,0.0,0.0,0.0,0.0
1663860061187602099,0.0,0.0,0.0,0.0,0.0,0.0
1663860061261882712,0.0,0.0,0.0,0.0,0.0,0.0
1663860061341410256,0.0,0.0,0.0,0.0,0.0,0.0
1663860061430839535,0.00854162033647,0.0,0.0,0.0,0.0,0.00897228997201
1663860061519202176,0.0500283539295,0.0,0.0,0.0,0.0,0.0269162598997
1663860061606981631,0.108598135412,0.0,0.0,0.0,0.0,0.00897208601236
1663860061694633693,0.189131587744,0.0,0.0,0.0,0.0,-0.0628046020865
1663860061782903584,0.264784216881,0.0,0.0,0.0,0.0,-0.0628046020865
1663860061870816299,0.318480402231,0.0,0.0,0.0,0.0,-0.0448614507914
1663860061959582631,0.319686114788,0.0,0.0,0.0,0.0,0.0179437641054
1663860062047618828,0.317260175943,0.0,0.0,0.0,0.0,0.017944579944
1663860062135238064,0.317245751619,0.0,0.0,0.0,0.0,0.0358875282109
1663860062223676065,0.312379270792,0.0,0.0,0.0,0.0,0.0
1663860062311758428,0.311144888401,0.0,0.0,0.0,0.0,-0.00897188205272
1663860062399168765,0.306271135807,0.0,0.0,0.0,0.0,0.00897208601236
1663860062487102712,0.305050939322,0.0,0.0,0.0,0.0,0.0
1663860062575301503,0.303830742836,0.0,0.0,0.0,0.0,-0.00897208601236
1663860062663650944,0.298949927092,0.0,0.0,0.0,0.0,0.0448604300618
1663860062751412449,0.301383465528,0.0,0.0,0.0,0.0,-0.00897188205272
1663860062839290173,0.303837627172,0.0,0.0,0.0,0.0,0.00897228997201
1663860062927942522,0.298943132162,0.0,0.0,0.0,0.0,0.00897188205272
1663860063015402866,0.298956722021,0.0,0.0,0.0,0.0,-0.00897228997201
1663860063090766809,0.334840774536,0.0,0.0,0.0,0.0,0.0103884581476
