%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663861005214465423,0.0,0.0,0.0,0.0,0.0,0.0
1663861005289647635,0.0,0.0,0.0,0.0,0.0,0.0
1663861005364307005,0.0,0.0,0.0,0.0,0.0,0.0
1663861005440875455,0.0,0.0,0.0,0.0,0.0,0.0
1663861005515526653,0.0,0.0,0.0,0.0,0.0,0.0
1663861005592127509,0.0,0.0,0.0,0.0,0.0,0.0
1663861005667130785,0.0,0.0,0.0,0.0,0.0,0.0
1663861005741381505,0.0,0.0,0.0,0.0,0.0,0.0
1663861005817710184,0.0,0.0,0.0,0.0,0.0,0.0
1663861005893503939,0.0,0.0,0.0,0.0,0.0,0.0
1663861005968040037,0.0,0.0,0.0,0.0,0.0,0.0
1663861006043404049,0.0,0.0,0.0,0.0,0.0,0.0
1663861006118602395,0.0,0.0,0.0,0.0,0.0,0.0
1663861006195073763,0.0,0.0,0.0,0.0,0.0,0.0
1663861006269679494,0.0,0.0,0.0,0.0,0.0,0.0
1663861006344878608,0.0,0.0,0.0,0.0,0.0,0.0
1663861006420626336,0.0,0.0,0.0,0.0,0.0,0.0
1663861006495599090,0.0,0.0,0.0,0.0,0.0,0.0
1663861006571047752,0.0,0.0,0.0,0.0,0.0,0.0
1663861006645716271,0.0,0.0,0.0,0.0,0.0,0.0
1663861006722691414,0.0,0.0,0.0,0.0,0.0,0.0
1663861006796944719,0.0,0.0,0.0,0.0,0.0,0.0
1663861006872527618,0.0,0.0,0.0,0.0,0.0,0.0
1663861006948420480,0.0,0.0,0.0,0.0,0.0,0.0
1663861007023776670,0.0,0.0,0.0,0.0,0.0,0.0
1663861007099165127,0.0,0.0,0.0,0.0,0.0,0.0
1663861007173782242,0.0,0.0,0.0,0.0,0.0,0.0
1663861007249765690,0.0,0.0,0.0,0.0,0.0,0.0
1663861007324257926,0.0,0.0,0.0,0.0,0.0,0.0
1663861007399185981,0.0,0.0,0.0,0.0,0.0,0.0
1663861007475471917,0.0,0.0,0.0,0.0,0.0,0.0
1663861007551101122,0.0,0.0,0.0,0.0,0.0,0.0
1663861007626390752,0.0,0.0,0.0,0.0,0.0,0.0
1663861007701011499,0.0,0.0,0.0,0.0,0.0,0.0
1663861007777045442,0.0,0.0,0.0,0.0,0.0,0.0
1663861007850913495,0.0,0.0,0.0,0.0,0.0,0.0
1663861007926583977,0.0,0.0,0.0,0.0,0.0,0.0
1663861008001995971,0.0,0.0,0.0,0.0,0.0,0.0
1663861008077620427,0.0,0.0,0.0,0.0,0.0,0.0
1663861008153091998,0.0,0.0,0.0,0.0,0.0,0.0
1663861008227531433,0.0,0.0,0.0,0.0,0.0,0.0
1663861008302677397,0.0,0.0,0.0,0.0,0.0,0.0
1663861008379465501,0.0,0.0,0.0,0.0,0.0,0.0
1663861008454126827,0.0,0.0,0.0,0.0,0.0,0.0
1663861008528889494,0.0,0.0,0.0,0.0,0.0,0.0
1663861008603245816,0.0,0.0,0.0,0.0,0.0,0.0
1663861008691692129,0.0,0.0,0.0,0.0,0.0,0.0
1663861008780041152,-0.0268438719213,0.0,0.0,0.0,0.0,0.0
1663861008867499819,-0.0817666575313,0.0,0.0,0.0,0.0,-0.00897351372987
