%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663861935926168569,0.0,0.0,0.0,0.0,0.0,0.0
1663861936001927892,0.0,0.0,0.0,0.0,0.0,0.0
1663861936077308736,0.0,0.0,0.0,0.0,0.0,0.0
1663861936153720109,0.0,0.0,0.0,0.0,0.0,0.0
1663861936228452046,0.0,0.0,0.0,0.0,0.0,0.0
1663861936303942683,0.0,0.0,0.0,0.0,0.0,0.0
1663861936380392959,0.0,0.0,0.0,0.0,0.0,0.0
1663861936456291198,0.0,0.0,0.0,0.0,0.0,0.0
1663861936533032927,0.0,0.0,0.0,0.0,0.0,0.0
1663861936608294830,0.0,0.0,0.0,0.0,0.0,0.0
1663861936684028031,0.0,0.0,0.0,0.0,0.0,0.0
1663861936759428920,0.0,0.0,0.0,0.0,0.0,0.0
1663861936834803130,0.0,0.0,0.0,0.0,0.0,0.0
1663861936910522781,0.0,0.0,0.0,0.0,0.0,0.0
1663861936985225034,0.0,0.0,0.0,0.0,0.0,0.0
1663861937060390624,0.0,0.0,0.0,0.0,0.0,0.0
1663861937136354166,0.0,0.0,0.0,0.0,0.0,0.0
1663861937211390826,0.0,0.0,0.0,0.0,0.0,0.0
1663861937287022615,0.0,0.0,0.0,0.0,0.0,0.0
1663861937362252600,0.0,0.0,0.0,0.0,0.0,0.0
1663861937437421682,0.0,0.0,0.0,0.0,0.0,0.0
1663861937525626060,0.0,0.0,0.0,0.0,0.0,0.0
1663861937614195994,0.0280640479177,0.0,0.0,0.0,0.0,-0.00897188205272
1663861937702384797,0.0915173590183,0.0,0.0,0.0,0.0,0.00897228997201
1663861937790572064,0.161063238978,0.0,0.0,0.0,0.0,0.0179437641054
1663861937878319601,0.225742816925,0.0,0.0,0.0,0.0,0.062806032598
1663861937966565116,0.298949927092,0.0,0.0,0.0,0.0,-0.00897208601236
1663861938054440535,0.318473190069,0.0,0.0,0.0,0.0,-0.00897208601236
1663861938142174103,0.316032767296,0.0,0.0,0.0,0.0,0.00897208601236
1663861938230491696,0.31481257081,0.0,0.0,0.0,0.0,0.0
1663861938317842387,0.309931755066,0.0,0.0,0.0,0.0,0.0179441720247
1663861938406485726,0.311151951551,0.0,0.0,0.0,0.0,0.00897208601236
1663861938493781451,0.308718562126,0.0,0.0,0.0,0.0,-0.0269168708473
1663861938582405304,0.30504399538,0.0,0.0,0.0,0.0,0.0
1663861938670979988,0.30627810955,0.0,0.0,0.0,0.0,-0.0269168708473
1663861938757992710,0.301383465528,0.0,0.0,0.0,0.0,-0.00897188205272
1663861938846359053,0.296522974968,0.0,0.0,0.0,0.0,0.026917481795
1663861938934437645,0.300170123577,0.0,0.0,0.0,0.0,0.0179441720247
1663861939022126933,0.296509504318,0.0,0.0,0.0,0.0,0.00897208601236
1663861939110297088,0.296509504318,0.0,0.0,0.0,0.0,0.00897208601236
1663861939185106201,0.330610990524,0.0,0.0,0.0,0.0,0.0415549278259
1663861939260010369,0.235942661762,0.0,0.0,0.0,0.0,-0.0103884581476
1663861939336133502,0.169633373618,0.0,0.0,0.0,0.0,0.0415768101811
1663861939412782480,0.120093740523,0.0,0.0,0.0,0.0,-0.0103887319565
