%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663861876825643681,0.0,0.0,0.0,0.0,0.0,0.0
1663861876902320666,0.0,0.0,0.0,0.0,0.0,0.0
1663861876976509087,0.0,0.0,0.0,0.0,0.0,0.0
1663861877053249629,0.0,0.0,0.0,0.0,0.0,0.0
1663861877127914796,0.0,0.0,0.0,0.0,0.0,0.0
1663861877202583664,0.0,0.0,0.0,0.0,0.0,0.0
1663861877278637653,0.0,0.0,0.0,0.0,0.0,0.0
1663861877354465001,0.0,0.0,0.0,0.0,0.0,0.0
1663861877429728720,0.0,0.0,0.0,0.0,0.0,0.0
1663861877505006826,0.0,0.0,0.0,0.0,0.0,0.0
1663861877579835215,0.0,0.0,0.0,0.0,0.0,0.0
1663861877656464148,0.0,0.0,0.0,0.0,0.0,0.0
1663861877731005833,0.0,0.0,0.0,0.0,0.0,0.0
1663861877810556215,0.0,0.0,0.0,0.0,0.0,0.0
1663861877901609266,0.00976162962615,0.0,0.0,0.0,0.0,0.0179441720247
1663861877989652797,0.0549091696739,0.0,0.0,0.0,0.0,0.0269162598997
1663861878077657983,0.117139562964,0.0,0.0,0.0,0.0,-0.0179441720247
1663861878165620845,0.19278781116,0.0,0.0,0.0,0.0,-0.0179437641054
1663861878253082726,0.258689075708,0.0,0.0,0.0,0.0,0.0717783197761
1663861878340278017,0.314805418253,0.0,0.0,0.0,0.0,0.0179437641054
1663861878428757645,0.323361337185,0.0,0.0,0.0,0.0,-0.00897228997201
1663861878516329737,0.316025584936,0.0,0.0,0.0,0.0,0.00897188205272
1663861878604402532,0.312372148037,0.0,0.0,0.0,0.0,-0.0179441720247
1663861878692389908,0.311151951551,0.0,0.0,0.0,0.0,-0.00897208601236
1663861878780316871,0.311151951551,0.0,0.0,0.0,0.0,-0.0269162598997
1663861878868666382,0.310037434101,0.0,0.0,0.0,0.0,-0.0359005853534
1663861878956945841,0.306271135807,0.0,0.0,0.0,0.0,-0.0269162598997
1663861879044242544,0.303837627172,0.0,0.0,0.0,0.0,-0.0269168708473
1663861879132543025,0.300163298845,0.0,0.0,0.0,0.0,-0.0179437641054
1663861879220426197,0.296516239643,0.0,0.0,0.0,0.0,0.00897228997201
1663861879308842687,0.298943132162,0.0,0.0,0.0,0.0,-0.00897188205272
1663861879396684651,0.301397174597,0.0,0.0,0.0,0.0,-0.00897228997201
1663861879485676296,0.297736495733,0.0,0.0,0.0,0.0,0.0
1663861879564098998,0.301383465528,0.0,0.0,0.0,0.0,0.0269156470895
1663861879643276839,0.265626072884,0.0,0.0,0.0,0.0,0.0
1663861879718709577,0.207686051726,0.0,0.0,0.0,0.0,0.0311653744429
1663861879793509890,0.149767890573,0.0,0.0,0.0,0.0,-0.020778009668
1663861879868858537,0.0861645117402,0.0,0.0,0.0,0.0,0.0103862714022
1663861879948783485,0.0282580927014,0.0,0.0,0.0,0.0,0.0
1663861880038895127,-0.00610087998211,0.0,0.0,0.0,0.0,0.0448594130576
1663861880127090146,-0.00488081481308,0.0,0.0,0.0,0.0,0.37682762742
1663861880214764348,0.0,0.0,0.0,0.0,0.0,0.717766880989
1663861880302700391,0.00854142662138,0.0,0.0,0.0,0.0,0.816459834576
1663861880391429916,0.00488081481308,0.0,0.0,0.0,0.0,0.789543628693
1663861880478813363,-0.00610101874918,0.0,0.0,0.0,0.0,0.852348208427
1663861880567554342,-0.00732138892636,0.0,0.0,0.0,0.0,0.861339867115
1663861880655311727,0.00366052798927,0.0,0.0,0.0,0.0,0.834385097027
1663861880743412319,0.00122023152653,0.0,0.0,0.0,0.0,0.780589282513
1663861880831955643,-0.00488070398569,0.0,0.0,0.0,0.0,0.771581888199
1663861880919264568,-0.00732138892636,0.0,0.0,0.0,0.0,0.825450718403
1663861881007746082,-0.00244040740654,0.0,0.0,0.0,0.0,0.843376100063
1663861881095304066,0.00488081481308,0.0,0.0,0.0,0.0,0.82543194294
1663861881182877206,0.00244040740654,0.0,0.0,0.0,0.0,0.753655254841
1663861881270657708,-0.00366061134264,0.0,0.0,0.0,0.0,0.834404051304
1663861881358912164,0.00244040740654,0.0,0.0,0.0,0.0,0.82543194294
1663861881446148452,0.00488070398569,0.0,0.0,0.0,0.0,0.78952562809
1663861881534053974,0.00488092610613,0.0,0.0,0.0,0.0,0.77161693573
1663861881623048132,0.00122017599642,0.0,0.0,0.0,0.0,0.780553758144
1663861881711269901,-0.00610115751624,0.0,0.0,0.0,0.0,0.834423005581
1663861881798614586,-0.00122017599642,0.0,0.0,0.0,0.0,0.852328836918
1663861881886543853,0.00366052798927,0.0,0.0,0.0,0.0,0.834385097027
1663861881966184891,0.00854395050555,0.0,0.0,0.0,0.0,0.726953804493
1663861882045090346,0.00423849094659,0.0,0.0,0.0,0.0,0.509034454823
1663861882133040567,0.0,0.0,0.0,0.0,0.0,0.125612065196
1663861882220845305,0.0280640479177,0.0,0.0,0.0,0.0,-0.00897188205272
1663861882308611350,0.0854162052274,0.0,0.0,0.0,0.0,-0.017944579944
1663861882397219908,0.16472376883,0.0,0.0,0.0,0.0,-0.00897188205272
1663861882484738780,0.23061850667,0.0,0.0,0.0,0.0,0.0448604300618
1663861882573431428,0.295289307833,0.0,0.0,0.0,0.0,0.0538325197995
1663861882660399591,0.32091358304,0.0,0.0,0.0,0.0,-0.00897208601236
1663861882749291779,0.318473190069,0.0,0.0,0.0,0.0,-0.00897208601236
1663861882837098613,0.31481257081,0.0,0.0,0.0,0.0,0.0
1663861882924826175,0.316039949656,0.0,0.0,0.0,0.0,-0.0269168708473
1663861883012791761,0.309924721718,0.0,0.0,0.0,0.0,-0.0179437641054
1663861883100595312,0.307498335838,0.0,0.0,0.0,0.0,0.0
1663861883189184732,0.306264191866,0.0,0.0,0.0,0.0,-0.0269156470895
1663861883277165614,0.298956722021,0.0,0.0,0.0,0.0,0.00897228997201
1663861883365914695,0.300170123577,0.0,0.0,0.0,0.0,0.0
1663861883453730049,0.302610516548,0.0,0.0,0.0,0.0,0.0
1663861883541089261,0.303830742836,0.0,0.0,0.0,0.0,0.00897208601236
1663861883629117356,0.306271135807,0.0,0.0,0.0,0.0,-0.0448604300618
1663861883717680795,0.300170123577,0.0,0.0,0.0,0.0,0.0179441720247
1663861883805011650,0.301383465528,0.0,0.0,0.0,0.0,-0.00897188205272
1663861883893328615,0.298956722021,0.0,0.0,0.0,0.0,-0.0269168708473
1663861883981504567,0.294062405825,0.0,0.0,0.0,0.0,0.0269156470895
1663861884069804699,0.302617400885,0.0,0.0,0.0,0.0,0.0
1663861884156506901,0.297722935677,0.0,0.0,0.0,0.0,0.0
1663861884231490620,0.332023859024,0.0,0.0,0.0,0.0,0.0103887319565
1663861884307056688,0.233141541481,0.0,0.0,0.0,0.0,0.0103895515203
1663861884382380750,0.179420009255,0.0,0.0,0.0,0.0,-0.0311637353152
1663861884471255478,0.0963960960507,0.0,0.0,0.0,0.0,0.0269162598997
1663861884558431353,0.0512485578656,0.0,0.0,0.0,0.0,0.0
1663861884646888491,-0.00732138892636,0.0,0.0,0.0,0.0,-0.017944579944
1663861884734950320,-0.0597886256874,0.0,0.0,0.0,0.0,-0.00897188205272
1663861884823133815,-0.126904070377,0.0,0.0,0.0,0.0,0.017944579944
1663861884911385826,-0.193525493145,0.0,0.0,0.0,0.0,-0.0459026284516
1663861884999585734,-0.245266526937,0.0,0.0,0.0,0.0,-0.00897228997201
1663861885086969251,-0.312372148037,0.0,0.0,0.0,0.0,-0.0179441720247
1663861885174830003,-0.319693386555,0.0,0.0,0.0,0.0,-0.0358883440495
1663861885262856562,-0.313592374325,0.0,0.0,0.0,0.0,0.00897208601236
1663861885351409734,-0.317252963781,0.0,0.0,0.0,0.0,0.0538325197995
1663861885430676695,-0.322171241045,0.0,0.0,0.0,0.0,0.0
1663861885508044982,-0.26703196764,0.0,0.0,0.0,0.0,0.0103887319565
1663861885596851544,-0.181897178292,0.0,0.0,0.0,0.0,-0.00897637009621
1663861885684491174,-0.161121815443,0.0,0.0,0.0,0.0,-0.0718011707067
1663861885772454455,-0.11104106158,0.0,0.0,0.0,0.0,-0.26019641757
1663861885860545478,-0.069542132318,0.0,0.0,0.0,0.0,-0.403688848019
1663861885948820397,-0.0366069450974,0.0,0.0,0.0,0.0,-0.556281983852
1663861886036136586,-0.00854006782174,0.0,0.0,0.0,0.0,-0.762506008148
1663861886124411505,0.00366227584891,0.0,0.0,0.0,0.0,-0.798878788948
1663861886211865563,-0.00244040740654,0.0,0.0,0.0,0.0,-0.735711097717
1663861886299997444,-0.00244118412957,0.0,0.0,0.0,0.0,-0.825694680214
1663861886379651613,0.00244046305306,0.0,0.0,0.0,0.0,-0.861339867115
1663861886458460685,0.00282566063106,0.0,0.0,0.0,0.0,-0.581753671169
1663861886533226705,-0.00141275592614,0.0,0.0,0.0,0.0,-0.135042846203
1663861886609511453,-0.00141283031553,0.0,0.0,0.0,0.0,0.0519422926009
1663861886684805693,0.0,0.0,0.0,0.0,0.0,0.0
1663861886760082053,0.0,0.0,0.0,0.0,0.0,0.0
1663861886835445507,0.0,0.0,0.0,0.0,0.0,0.0
1663861886910579737,0.0,0.0,0.0,0.0,0.0,0.0
1663861886984253906,0.0,0.0,0.0,0.0,0.0,0.0
1663861887060274999,0.0,0.0,0.0,0.0,0.0,0.0
1663861887135322624,0.0,0.0,0.0,0.0,0.0,0.0
1663861887211900991,0.0,0.0,0.0,0.0,0.0,0.0
1663861887287258229,0.0,0.0,0.0,0.0,0.0,0.0
1663861887364082023,0.0,0.0,0.0,0.0,0.0,0.0
1663861887440032504,0.0,0.0,0.0,0.0,0.0,0.0
1663861887514640261,0.0,0.0,0.0,0.0,0.0,0.0
1663861887590879053,0.0,0.0,0.0,0.0,0.0,0.0
1663861887667530126,0.0,0.0,0.0,0.0,0.0,0.0
1663861887742822969,0.0,0.0,0.0,0.0,0.0,0.0
1663861887817840003,0.0,0.0,0.0,0.0,0.0,0.0
1663861887894614209,0.0,0.0,0.0,0.0,0.0,0.0
1663861887970443793,0.0,0.0,0.0,0.0,0.0,0.0
1663861888044561672,0.0,0.0,0.0,0.0,0.0,0.0
1663861888121382394,0.0,0.0,0.0,0.0,0.0,0.0
1663861888195865550,0.0,0.0,0.0,0.0,0.0,0.0
1663861888270966466,0.0,0.0,0.0,0.0,0.0,0.0
1663861888347121377,0.0,0.0,0.0,0.0,0.0,0.0
1663861888422792557,0.0,0.0,0.0,0.0,0.0,0.0
1663861888497038738,0.0,0.0,0.0,0.0,0.0,0.0
1663861888572561293,0.0,0.0,0.0,0.0,0.0,0.0
1663861888660420928,-0.00122095295228,0.0,0.0,0.0,0.0,0.00897759571671
1663861888748554206,-0.00122023152653,0.0,0.0,0.0,0.0,0.206362679601
1663861888836717656,-0.00365986255929,0.0,0.0,0.0,0.0,0.601006865501
1663861888924593634,0.0,0.0,0.0,0.0,0.0,0.771704673767
1663861889012808139,0.00122020370327,0.0,0.0,0.0,0.0,0.798515677452
1663861889100470468,-0.00488037150353,0.0,0.0,0.0,0.0,0.861241996288
1663861889188263542,0.00122109183576,0.0,0.0,0.0,0.0,0.870925784111
1663861889276247218,0.00488003855571,0.0,0.0,0.0,0.0,0.7535353899
1663861889364665314,0.00854375679046,0.0,0.0,0.0,0.0,0.726937234402
1663861889452223089,0.00488070398569,0.0,0.0,0.0,0.0,0.78952562809
