%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663859802390782821,0.0,0.0,0.0,0.0,0.0,0.0
1663859802467131475,0.0,0.0,0.0,0.0,0.0,0.0
1663859802541538154,0.0,0.0,0.0,0.0,0.0,0.0
1663859802616856280,0.0,0.0,0.0,0.0,0.0,0.0
1663859802691566077,0.0,0.0,0.0,0.0,0.0,0.0
1663859802768049807,0.0,0.0,0.0,0.0,0.0,0.0
1663859802843443782,0.0,0.0,0.0,0.0,0.0,0.0
1663859802918878824,0.0,0.0,0.0,0.0,0.0,0.0
1663859802994106574,-0.00141286745202,0.0,0.0,0.0,0.0,0.0103887319565
1663859803069451240,0.0,0.0,0.0,0.0,0.0,0.0
1663859803144582537,0.0,0.0,0.0,0.0,0.0,0.0
1663859803219690157,0.0,0.0,0.0,0.0,0.0,0.0
1663859803295381662,0.0,0.0,0.0,0.0,0.0,0.0
1663859803370623590,0.0,0.0,0.0,0.0,0.0,0.0
1663859803446148520,0.0,0.0,0.0,0.0,0.0,0.0
1663859803521863561,0.0,0.0,0.0,0.0,0.0,0.0
1663859803597587473,-0.00141283031553,0.0,0.0,0.0,0.0,-0.0103884581476
1663859803672711926,0.0,0.0,0.0,0.0,0.0,0.0
1663859803748923758,0.0,0.0,0.0,0.0,0.0,0.0
1663859803824893446,0.0,0.0,0.0,0.0,0.0,0.0
1663859803899598144,0.0,0.0,0.0,0.0,0.0,0.0
1663859803974283356,-0.00141290470492,0.0,0.0,0.0,0.0,0.010389004834
1663859804049447060,0.0,0.0,0.0,0.0,0.0,0.0
1663859804123883352,0.0,0.0,0.0,0.0,0.0,0.0
1663859804199233745,0.0,0.0,0.0,0.0,0.0,0.0
1663859804275194703,0.0,0.0,0.0,0.0,0.0,0.0
1663859804350855827,0.0,0.0,0.0,0.0,0.0,0.0
1663859804425297148,0.0,0.0,0.0,0.0,0.0,0.0
1663859804502533014,0.0,0.0,0.0,0.0,0.0,0.0
1663859804577300290,0.0,0.0,0.0,0.0,0.0,0.0
1663859804651520001,0.0,0.0,0.0,0.0,0.0,0.0
